season,Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Matches
2015,7,Michele Dalton,us USA,GK,Chicago Red Stars,12,12,1080,11,0.92,58.0,47.0,0.81,6,5,1,5,41.7,
2015,8,Ashlyn Harris,us USA,GK,Washington Spirit,9,9,810,12,1.33,60.0,48.0,0.8,3,4,2,1,11.1,
2015,9,Bianca Henninger,us USA,GK,Houston Dash,10,9,868,11,1.14,44.0,33.0,0.75,3,3,4,4,44.4,
2015,10,Chantel Jones,us USA,GK,Western New York Flash,13,12,1155,21,1.64,81.0,60.0,0.741,4,5,4,2,16.7,
2015,11,Robyn Jones,us USA,GK,Western New York Flash,1,1,90,2,2.0,7.0,5.0,0.714,1,0,0,0,0.0,
2015,12,Haley Kopmeyer,us USA,GK,Seattle,11,11,990,11,1.0,52.0,41.0,0.788,7,3,1,4,36.4,
2015,13,Jami Kranich,us USA,GK,Boston Breakers,8,8,720,13,1.62,42.0,29.0,0.69,2,2,4,2,25.0,
2015,14,Karina LeBlanc,ca CAN,GK,Chicago Red Stars,8,8,720,11,1.37,39.0,28.0,0.718,2,4,2,1,12.5,
2015,15,Erin McLeod,ca CAN,GK,Houston Dash,11,11,932,15,1.45,74.0,59.0,0.797,3,3,4,2,18.2,
2015,16,Alyssa Naeher,us USA,GK,Boston Breakers,12,12,1080,30,2.5,95.0,65.0,0.684,2,1,9,0,0.0,
2015,17,Katelyn Rowland,us USA,GK,FC Kansas City,3,3,270,4,1.33,17.0,13.0,0.765,1,2,0,1,33.3,
2015,18,Hope Solo,us USA,GK,Seattle,8,8,720,9,1.13,29.0,20.0,0.69,5,1,2,1,12.5,
2015,19,Caroline Stanley,us USA,GK,Seattle,1,1,90,1,1.0,2.0,1.0,0.5,1,0,0,0,0.0,
2015,20,Kelsey Wys,us USA,GK,Washington Spirit,11,11,990,16,1.45,51.0,35.0,0.686,5,2,4,3,27.3,
2016,1,Nicole Barnhart,us USA,GK,FC Kansas City,20,20,1800,20,1.0,98.0,78.0,0.796,7,5,8,6,30.0,Matches
2016,2,Michelle Betos,us USA,GK,Portland Thorns FC,14,14,1260,16,1.14,60.0,44.0,0.733,9,2,3,4,28.6,Matches
2016,3,Aubrey Bledsoe,us USA,GK,Orlando Pride,1,1,90,2,2.0,5.0,3.0,0.6,0,0,1,0,0.0,Matches
2016,4,Caroline Casey,us USA,GK,Sky Blue FC,10,9,860,14,1.47,40.0,26.0,0.65,5,1,4,2,22.2,Matches
2016,5,Sabrina D'Angelo,ca CAN,GK,Western New York Flash,11,11,990,16,1.45,48.0,32.0,0.667,4,3,4,2,18.2,Matches
2016,6,Michele Dalton,us USA,GK,Chicago Red Stars,7,7,630,7,1.0,23.0,16.0,0.696,3,2,2,2,28.6,Matches
2016,7,Britt Eckerstrom,us USA,GK,Western New York Flash,3,3,270,2,0.67,18.0,16.0,0.889,2,0,1,2,66.7,Matches
2016,8,Adrianna Franch,us USA,GK,Portland Thorns FC,6,6,540,3,0.5,18.0,15.0,0.833,3,3,0,3,50.0,Matches
2016,9,Ashlyn Harris,us USA,GK,Orlando Pride,15,15,1350,20,1.33,74.0,54.0,0.73,5,1,9,4,26.7,Matches
2016,10,Bianca Henninger,us USA,GK,Houston Dash,5,5,450,7,1.4,18.0,11.0,0.611,1,2,2,1,20.0,Matches
2016,11,Haley Kopmeyer,us USA,GK,Seattle,11,11,944,13,1.24,47.0,34.0,0.723,5,2,3,3,27.3,Matches
