season,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2013,80,Ali Krieger,us USA,"DF,MF",Washington Spirit,28.0,1984.0,18,16,,1.0,0.0,0.0,0.0,2.0,0.0
2013,81,Kaylyn Kyle,ca CAN,MF,Seattle,24.0,1988.0,21,19,,3.0,0.0,3.0,3.0,4.0,0.0
2013,82,Kristina Larsen,us USA,FW,Seattle,24.0,1988.0,9,4,,0.0,1.0,0.0,0.0,1.0,0.0
2013,83,Karina LeBlanc,ca CAN,GK,Portland Thorns FC,32.0,1980.0,21,21,1890.0,,,0.0,0.0,,
2013,84,Adriana Leon,ca CAN,"FW,MF",Boston Breakers,20.0,1992.0,6,1,163.0,1.0,0.0,0.0,0.0,0.0,0.0
2013,85,Adriana Leon,ca CAN,"FW,MF",Chicago Red Stars,20.0,1992.0,10,9,800.0,1.0,1.0,0.0,0.0,1.0,0.0
2013,86,Sydney Leroux,us USA,FW,Boston Breakers,22.0,1990.0,19,19,1694.0,11.0,2.0,0.0,0.0,1.0,0.0
2013,87,Cris Lewis,us USA,GK,Portland Thorns FC,24.0,1988.0,1,1,90.0,,,0.0,0.0,,
2013,88,Lori Lindsey,us USA,MF,Washington Spirit,32.0,1980.0,21,21,,1.0,2.0,0.0,0.0,0.0,0.0
2013,89,Lindsi Lisonbee-Cutshall,us USA,DF,Sky Blue FC,22.0,1990.0,7,1,,0.0,0.0,0.0,0.0,0.0,0.0
2013,90,Carli Lloyd,us USA,MF,Western New York Flash,30.0,1982.0,15,14,8.0,0.0,,0.0,0.0,4.0,0.0
2013,91,Joanna Lohman,us USA,"DF,MF",Boston Breakers,30.0,1982.0,22,21,1897.0,2.0,0.0,0.0,0.0,2.0,0.0
2013,92,Michelle Lomnicki,us USA,DF,Chicago Red Stars,25.0,1987.0,18,17,1478.0,1.0,1.0,0.0,0.0,2.0,0.0
2013,93,Allie Long,us USA,MF,Portland Thorns FC,25.0,1987.0,22,22,1956.0,3.0,3.0,0.0,0.0,2.0,0.0
2013,94,Casey Loyd,us USA,MF,FC Kansas City,23.0,1989.0,4,3,275.0,1.0,1.0,1.0,1.0,0.0,0.0
2013,95,Jillian Loyden,us USA,GK,Sky Blue FC,27.0,1985.0,4,4,360.0,,,0.0,0.0,,
2013,96,Taylor Lytle,us USA,MF,Sky Blue FC,23.0,1989.0,21,12,,4.0,0.0,0.0,0.0,0.0,0.0
2013,97,Manya Makoski,us USA,MF,Sky Blue FC,28.0,1984.0,20,19,,0.0,0.0,0.0,0.0,0.0,0.0
2013,98,Nikki Marshall,us USA,"DF,FW",Portland Thorns FC,24.0,1988.0,22,22,1871.0,0.0,1.0,0.0,0.0,1.0,0.0
2013,99,Ella Masar,us USA,FW,Chicago Red Stars,26.0,1986.0,20,14,1206.0,3.0,2.0,0.0,0.0,0.0,0.0
2013,100,Diana Matheson,ca CAN,MF,Washington Spirit,28.0,1984.0,19,19,,8.0,3.0,4.0,4.0,0.0,0.0
2013,101,Merritt Mathias,us USA,"DF,MF",FC Kansas City,22.0,1990.0,22,19,1738.0,2.0,3.0,0.0,0.0,3.0,0.0
2013,102,Alyssa Mautz,us USA,"FW,MF",Chicago Red Stars,23.0,1989.0,18,8,901.0,4.0,0.0,0.0,0.0,3.0,0.0
2013,103,Bryanna McCarthy,ca CAN,DF,Western New York Flash,21.0,1991.0,1,0,,0.0,,0.0,0.0,0.0,0.0
2013,104,Tiffany McCarty,us USA,FW,Washington Spirit,22.0,1990.0,21,12,,2.0,0.0,0.0,0.0,0.0,0.0
2013,105,Jessica McDonald,us USA,FW,Chicago Red Stars,24.0,1988.0,9,3,323.0,0.0,1.0,0.0,0.0,0.0,0.0
2013,106,Jessica McDonald,us USA,FW,Seattle,24.0,1988.0,7,6,,3.0,1.0,0.0,0.0,0.0,0.0
2013,107,Erin McLeod,ca CAN,GK,Chicago Red Stars,29.0,1983.0,16,16,1440.0,,,0.0,0.0,,
2013,108,Kia McNeill,us USA,DF,Boston Breakers,26.0,1986.0,21,21,1890.0,0.0,0.0,0.0,0.0,2.0,0.0
2013,109,Kristen Meier,us USA,"DF,MF",Seattle,21.0,1991.0,6,4,,0.0,0.0,0.0,0.0,0.0,0.0
2013,110,Melinda Mercado,us USA,DF,Boston Breakers,22.0,1990.0,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,111,Kristie Mewis,us USA,"DF,MF",FC Kansas City,21.0,1991.0,20,20,1784.0,1.0,0.0,0.0,0.0,2.0,0.0
