season,page,oddsportal_event_id,oddsportal_encoded_event_id,oddsportal_url,match_datetime,match_date,home_team_raw,away_team_raw,home_team,away_team,home_key,away_key,home_result,away_result,result,home_avg_odds,draw_avg_odds,away_avg_odds,home_max_odds,draw_max_odds,away_max_odds
2026,2,9937913,CM44TUQh,/football/h2h/bay-fc-4QbExvzF/san-diego-wave-QXU76Jyc/#CM44TUQh,2026-05-03T23:00:00+00:00,2026-05-03,San Diego Wave W,Bay FC W,SD Wave,Bay FC,sd wave,bay fc,0,1,0:1,1.44,4.25,5.88,1.47,4.4,6.0
2026,2,9937909,0rynBmBO,/football/h2h/gotham-fc-l8iSqzTb/racing-louisville-08vkTDXh/#0rynBmBO,2026-05-03T21:00:00+00:00,2026-05-03,Gotham W,Racing Louisville W,Gotham FC,Racing Louisville,gotham fc,racing louisville,1,0,1:0,1.3,4.83,8.38,1.34,5.25,9.5
2026,2,9937907,ttLpD9tC,/football/h2h/boston-legacy-I7e4N6Na/denver-summit-x2WvVrRL/#ttLpD9tC,2026-05-03T19:00:00+00:00,2026-05-03,Boston Legacy W,Denver Summit W,Boston Legacy,Denver Summit FC,boston legacy,denver summit fc,3,2,3:2,2.65,3.23,2.4,2.8,3.35,2.45
2026,2,9937905,8SMxFVBa,/football/h2h/chicago-stars-I9zHnxqt/portland-thorns-fc-h6A8LOSq/#8SMxFVBa,2026-05-03T17:00:00+00:00,2026-05-03,Chicago W,Portland Thorns W,Chicago Stars,Portland Thorns,chicago stars,portland thorns,0,2,0:2,5.63,4.3,1.45,6.0,4.5,1.47
2026,2,9937903,C0TTGism,/football/h2h/angel-city-bRtQszad/utah-royals-z7PteVfk/#C0TTGism,2026-05-03T00:45:00+00:00,2026-05-03,Angel City W,Utah Royals W,Angel City FC,Royals,angel city fc,royals,0,1,0:1,2.45,3.4,2.53,2.55,3.5,2.55
2026,2,9937899,OxxCRmv8,/football/h2h/kansas-city-current-nHE01nbk/north-carolina-courage-QNeQX1Ir/#OxxCRmv8,2026-05-02T22:30:00+00:00,2026-05-02,North Carolina Courage W,Kansas City Current W,NC Courage,Current,nc courage,current,1,2,1:2,2.83,3.43,2.2,2.9,3.75,2.25
2026,2,9937897,IuZ3T99e,/football/h2h/orlando-pride-MqPAFyfb/washington-spirit-Iw8EhkKp/#IuZ3T99e,2026-05-02T20:00:00+00:00,2026-05-02,Orlando Pride W,Washington Spirit W,Orlando Pride,Washington Spirit,orlando pride,washington spirit,2,4,2:4,3.13,3.38,2.05,3.25,3.55,2.05
2026,2,9937895,MDueVVvq,/football/h2h/houston-dash-M5AysivR/seattle-reign-OjKxRp5M/#MDueVVvq,2026-05-02T00:00:00+00:00,2026-05-02,Houston Dash W,Seattle Reign W,Houston Dash,Reign,houston dash,reign,0,0,0:0,2.18,3.13,3.13,2.2,3.25,3.15
2026,2,9937893,QsfPzhHL,/football/h2h/portland-thorns-fc-h6A8LOSq/san-diego-wave-QXU76Jyc/#QsfPzhHL,2026-04-30T02:00:00+00:00,2026-04-30,Portland Thorns W,San Diego Wave W,Portland Thorns,SD Wave,portland thorns,sd wave,2,0,2:0,2.6,3.2,2.49,2.6,3.2,2.6
2026,2,9937887,GhAMGWPk,/football/h2h/chicago-stars-I9zHnxqt/gotham-fc-l8iSqzTb/#GhAMGWPk,2026-04-30T00:00:00+00:00,2026-04-30,Chicago W,Gotham W,Chicago Stars,Gotham FC,chicago stars,gotham fc,0,2,0:2,9.38,5.03,1.27,11.0,5.25,1.29
2026,2,9937889,x8bVEAf2,/football/h2h/boston-legacy-I7e4N6Na/north-carolina-courage-QNeQX1Ir/#x8bVEAf2,2026-04-29T23:00:00+00:00,2026-04-29,Boston Legacy W,North Carolina Courage W,Boston Legacy,NC Courage,boston legacy,nc courage,2,2,2:2,2.98,3.48,2.1,3.1,3.75,2.15
2026,2,9937885,pAJjMh2S,/football/h2h/racing-louisville-08vkTDXh/washington-spirit-Iw8EhkKp/#pAJjMh2S,2026-04-29T23:00:00+00:00,2026-04-29,Washington Spirit W,Racing Louisville W,Washington Spirit,Racing Louisville,washington spirit,racing louisville,1,0,1:0,1.34,4.8,6.88,1.36,5.0,7.5
2026,2,9937883,lrQsOEXF,/football/h2h/seattle-reign-OjKxRp5M/utah-royals-z7PteVfk/#lrQsOEXF,2026-04-27T00:00:00+00:00,2026-04-27,Seattle Reign W,Utah Royals W,Reign,Royals,reign,royals,0,3,0:3,2.4,3.33,2.6,2.5,3.45,2.65
2026,2,9937881,GURZPz33,/football/h2h/angel-city-bRtQszad/portland-thorns-fc-h6A8LOSq/#GURZPz33,2026-04-26T22:00:00+00:00,2026-04-26,Angel City W,Portland Thorns W,Angel City FC,Portland Thorns,angel city fc,portland thorns,1,2,1:2,2.4,3.4,2.55,2.45,3.55,2.55
2026,2,9937877,fPtu4gtp,/football/h2h/denver-summit-x2WvVrRL/san-diego-wave-QXU76Jyc/#fPtu4gtp,2026-04-26T00:45:00+00:00,2026-04-26,Denver Summit W,San Diego Wave W,Denver Summit FC,SD Wave,denver summit fc,sd wave,2,3,2:3,3.05,3.43,2.08,3.1,3.6,2.1
2026,2,9937875,Ai589FIM,/football/h2h/houston-dash-M5AysivR/north-carolina-courage-QNeQX1Ir/#Ai589FIM,2026-04-26T00:00:00+00:00,2026-04-26,Houston Dash W,North Carolina Courage W,Houston Dash,NC Courage,houston dash,nc courage,0,1,0:1,2.75,3.43,2.23,2.75,3.6,2.25
