season,team,player_name,player_name_key,position,minutes_played,asa_xgoals,asa_xassists,asa_points_added,asa_xpoints_added,asa_xg_plus_xa_per90,asa_gplus_raw_total,asa_gplus_above_avg_total,asa_gplus_above_avg_per90,asa_gplus_shooting_above_avg,asa_gplus_passing_above_avg,asa_gplus_dribbling_above_avg,asa_gplus_receiving_above_avg,asa_gplus_interrupting_above_avg,asa_gplus_fouling_above_avg,asa_gplus_claiming_above_avg
2026,Racing Louisville,Audrey McKeen,audrey mckeen,W,172,0.15,0.07680000000000001,0.0,0.032100000000000004,0.11867441860465115,0.2602,-0.1176,-0.06153488372093023,-0.027,0.0471,-0.0275,-0.0663,-0.0123,-0.0316,0.0
2026,Racing Louisville,Avery Ciorbu,avery ciorbu,DM,41,0.0,0.0,0.0,0.0,0.0,0.0347,-0.014500000000000002,-0.031829268292682934,-0.0056,0.008700000000000001,0.0066,-0.0088,-0.015300000000000001,-0.0001,0.0
2026,Racing Louisville,Courtney Petersen,courtney petersen,FB,909,0.0485,1.1703000000000001,0.0,0.017400000000000002,0.12067326732673268,0.675,-0.41459999999999997,-0.04104950495049505,-0.0653,0.24960000000000002,-0.2132,-0.11670000000000001,-0.314,0.045,0.0
2026,Racing Louisville,Ella Hase,ella hase,W,677,0.7167,0.6437,0.0,0.6269,0.18085081240768094,1.0448000000000002,-0.5585,-0.0742466765140325,-0.1625,-0.2513,0.20170000000000002,-0.2711,-0.0489,-0.0264,0.0
2026,Racing Louisville,Ellie Jean,ellie jean,CB,720,0.017400000000000002,0.0146,0.0,0.012400000000000001,0.004,0.3645,-0.4507,-0.0563375,-0.0514,-0.4908,-0.0035,-0.0683,-0.11270000000000001,0.276,0.0
2026,Racing Louisville,Emma Sears,emma sears,W,763,1.7257,1.1627,0.27690000000000003,1.3151,0.34070249017038007,2.2805,0.4736,0.05586369593709044,0.07050000000000001,0.0853,0.6018,-0.1519,-0.0673,-0.0648,0.0
2026,Racing Louisville,Jordyn Bloomer,jordyn bloomer,GK,944,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2026,Racing Louisville,Katie O'Kane,katie o kane,CM,982,1.5536,1.3981000000000001,1.1502000000000001,0.9865,0.27052240325865584,2.1196,0.7602,0.06967209775967413,0.1385,0.19990000000000002,0.117,0.014400000000000001,0.3375,-0.0471,0.0
2026,Racing Louisville,Kayla Fischer,kayla fischer,ST,923,1.6177000000000001,0.5867,1.8685,1.1985,0.2149469122426869,2.0017,-0.05810000000000003,-0.0056652221018418224,-0.1241,-0.2383,0.2076,-0.13720000000000002,0.0613,0.1726,0.0
2026,Racing Louisville,Lauren Milliet,lauren milliet,FB,1012,1.1401000000000001,1.1607,0.8151,0.5756,0.20461660079051386,1.0178,-0.2622,-0.023318181818181818,0.0728,-0.5351,0.1198,0.34450000000000003,-0.07390000000000001,-0.1903,0.0
