season,match_date,home_team,away_team,home_xg,away_xg,home_xg_players,away_xg_players,home_xpoints,away_xpoints,asa_game_id
2025,2025-06-07,Gotham FC,Current,0.6258,1.7782,0.6258,1.7782,0.42,2.367,e7Mzj296Mr
2025,2025-06-07,SD Wave,Reign,0.6938000000000001,0.6032000000000001,0.6938000000000001,0.6032000000000001,1.357,1.258,ljqEmRjzqx
2025,2025-06-07,Racing Louisville,Royals,1.9949000000000001,1.0445,1.9949000000000001,1.0451,2.147,0.653,p6qbjWeBq0
2025,2025-05-26,SD Wave,NC Courage,1.6896,1.969,1.6947,2.0517,1.263,1.512,XVqKzNYO50
2025,2025-05-25,Angel City FC,Racing Louisville,1.4106,1.7319,1.4106,1.912,1.178,1.526,BLMvj2lOMx
2025,2025-05-25,Houston Dash,Bay FC,0.7955,1.7873,0.7967000000000001,1.797,0.717,2.061,4wM4bD2pqj
2025,2025-05-24,Chicago Stars,Current,0.0414,2.0857,0.0414,2.0857,0.10400000000000001,2.813,zeQZpdJ15K
2025,2025-05-24,Reign,Washington Spirit,0.9315,1.7493,0.9394,1.7519,0.768,1.962,4JMAb6ak5K
2025,2025-05-24,Royals,Orlando Pride,0.5846,2.8943,0.5846,3.195,0.176,2.732,kRQajBboMK
2025,2025-05-18,Bay FC,Angel City FC,1.4903,1.2215,1.4937,1.2357,1.585,1.12,xW5pbzxdQg
2025,2025-05-17,Washington Spirit,Royals,3.7912,0.8612000000000001,3.8038,0.8982,2.811,0.132,KPqjj9oRq6
2025,2025-05-17,NC Courage,Chicago Stars,1.4073,0.8964000000000001,1.4121,0.8976000000000001,1.73,0.998,aDQ0b2aP5E
2025,2025-05-17,Racing Louisville,Reign,0.9949,0.6191,1.0114,0.6191,1.598,1.04,KXMeZ6er56
2025,2025-05-17,Orlando Pride,Current,1.0283,1.0543,1.043,1.0637,1.358,1.328,9vQ2bDdaQK
2025,2025-05-17,Houston Dash,Portland Thorns,0.9577,1.7964,0.9817,1.7964,0.725,2.036,NPqxj2mmM9
