2026-03-15 00:01:35 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1040, rho=-0.0540, intercept=0.2554, n_teams=12
2026-03-15 00:01:35 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.599, defense=1.599)
2026-03-15 00:01:39 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1285, rho=0.0254, intercept=0.2454, n_teams=12
2026-03-15 00:01:39 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.604, defense=1.604)
2026-03-15 00:01:42 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1598, rho=0.0162, intercept=0.2317, n_teams=12
2026-03-15 00:01:42 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.605, defense=1.605)
2026-03-15 00:01:45 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1473, rho=0.0688, intercept=0.2311, n_teams=12
2026-03-15 00:01:45 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.606, defense=1.606)
2026-03-15 00:01:49 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1272, rho=0.0723, intercept=0.2315, n_teams=12
2026-03-15 00:01:49 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.596, defense=1.596)
2026-03-15 00:01:52 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1296, rho=0.0736, intercept=0.2164, n_teams=12
2026-03-15 00:01:52 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.593, defense=1.593)
2026-03-15 00:01:55 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1544, rho=0.0679, intercept=0.1973, n_teams=12
2026-03-15 00:01:55 | nwsl_model.models.team_ratings | INFO | Computed ratings for 12 teams (league avg attack=1.597, defense=1.597)
2026-03-15 00:01:59 | nwsl_model.models.dixon_coles | INFO | Dixon-Coles fit: converged=True, home_adv=0.1350, rho=0.0648, intercept=0.2026, n_teams=12
