ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
109,Shea Groom,usUSA,"FW,MF",Houston Dash,29,1993,1,0,12.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
110,Mia Gyau,usUSA,DF,SD Wave,24,1998,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
111,Kristen Hamilton,usUSA,FW,Current,30,1992,14,12,855.0,9.5,2,0,2,2,0,0,1,0,0.21,0.0,0.21,0.21,0.21,Matches
112,Madison Hammond,usUSA,"MF,DF",Angel City FC,25,1997,19,13,,13.3,1,1,2,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,Matches
113,DiDi Haracic,baBIH,GK,Angel City FC,30,1992,18,18,,18.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
114,Jyllissa Harris,usUSA,DF,Houston Dash,22,2000,1,0,8.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
115,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,27,1995,22,22,,20.3,9,2,11,4,5,5,3,0,0.44,0.1,0.54,0.2,0.29,Matches
116,Kelcie Hedge,usUSA,MF,Houston Dash,25,1997,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
117,Amandine Henry,frFRA,MF,Angel City FC,33,1989,5,4,317.0,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
118,Samantha Hiatt,usUSA,DF,Reign,25,1998,16,16,,15.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
119,Rachel Hill,usUSA,"MF,FW",SD Wave,27,1995,17,15,,11.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
120,Sophie Hirst,usUSA,MF,Houston Dash,22,2000,12,8,631.0,7.0,1,0,1,1,0,0,0,0,0.14,0.0,0.14,0.14,0.14,Matches
121,Penelope Hocking,usUSA,MF,Red Stars,23,1999,16,14,,13.1,3,1,4,3,0,0,3,0,0.23,0.08,0.31,0.23,0.31,Matches
