ranker,player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,matches
82,Abby Dahlkemper,usUSA,DF,Bay FC,31,1993,13.0,,,,,,,,,,,,,,,,,,,,,Matches
83,Daiane,brBRA,DF,Portland Thorns,27,1997,0.7,,,,,,,,,,,,,,,,,,,,,Matches
84,Kenza Dali,frFRA,MF,SD Wave,33,1991,25.9,,,,,,,,,,,,,,,,,,,,,Matches
85,Tierna Davidson,usUSA,DF,Gotham FC,26,1998,2.5,,,,,,,,,,,,,,,,,,,,,Matches
86,Debinha,brBRA,"MF,FW",Current,33,1991,16.2,,,,,,,,,,,,,,,,,,,,,Matches
87,Kate Del Fava,usUSA,DF,Royals,26,1998,26.0,,,,,,,,,,,,,,,,,,,,,Matches
88,Cece Delzer,usUSA,"FW,MF",Gotham FC,27,1997,0.4,,,,,,,,,,,,,,,,,,,,,Matches
89,Cece Delzer,usUSA,"FW,MF",Royals,27,1997,4.6,,,,,,,,,,,,,,,,,,,,,Matches
90,Savannah Demelo,usUSA,MF,Racing Louisville,26,1998,15.7,,,,,,,,,,,,,,,,,,,,,Matches
91,Margie Detrizio,,DF,Washington Spirit,,,0.1,,,,,,,,,,,,,,,,,,,,,Matches
92,Vanessa DiBernardo,usUSA,"MF,FW",Current,32,1992,9.8,,,,,,,,,,,,,,,,,,,,,Matches
93,Claudia Dickey,usUSA,GK,Reign,25,2000,26.0,,,,,,,,,,,,,,,,,,,,,Matches
94,Marisa DiGrande,usUSA,MF,Racing Louisville,27,1997,7.7,,,,,,,,,,,,,,,,,,,,,Matches
95,Makenzy Doniak,usUSA,"MF,FW",SD Wave,30,1994,5.6,,,,,,,,,,,,,,,,,,,,,Matches
96,Sara Doorsoun,deGER,DF,Angel City FC,33,1991,7.0,,,,,,,,,,,,,,,,,,,,,Matches
97,Imani Dorsey,usUSA,DF,Royals,28,1996,7.2,,,,,,,,,,,,,,,,,,,,,Matches
98,Julie Doyle,usUSA,"FW,MF",Orlando Pride,26,1998,4.6,,,,,,,,,,,,,,,,,,,,,Matches
99,Dudinha,brBRA,"MF,FW",SD Wave,19,2005,7.1,,,,,,,,,,,,,,,,,,,,,Matches
100,Julie Dufour,frFRA,"MF,FW",Angel City FC,23,2001,4.1,,,,,,,,,,,,,,,,,,,,,Matches
101,Julie Dufour,frFRA,FW,Portland Thorns,23,2001,1.8,,,,,,,,,,,,,,,,,,,,,Matches
