ranker,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,matches
158,Julia Grosso,caCAN,"MF,FW",Chicago Stars,24,2000,24,,83.0,84.9,22.1,23,84.0,13,1,45.0,0,0.67,27.0,43.0,-16.0,-0.73,0.8,Matches
159,Ana María Guzmán,coCOL,DF,Royals,19,2005,5,78.0,16.0,3.3,0.9,0,,0,5,16.0,2,0.6,1.0,1.0,0.0,0.0,0.56,Matches
160,Madison Hammond,usUSA,MF,Angel City FC,27,1997,21,927.0,44.0,39.6,10.3,9,79.0,4,12,18.0,5,1.24,11.0,16.0,-5.0,-0.49,-0.17,Matches
161,Caiya Hanks,usUSA,"MF,FW",Portland Thorns,20,2004,11,636.0,58.0,27.2,7.1,7,72.0,2,4,34.0,0,1.45,14.0,5.0,9.0,1.27,1.38,Matches
162,DiDi Haracic,baBIH,GK,SD Wave,32,1992,2,180.0,90.0,7.7,2.0,2,90.0,2,0,,24,0.5,2.0,3.0,-1.0,-0.5,-0.83,Matches
163,Laila Harbert,engENG,MF,Portland Thorns,18,2007,4,62.0,16.0,2.6,0.7,0,,0,4,16.0,3,1.2,0.0,2.0,-2.0,-2.9,-3.26,Matches
164,Khyah Harper,usUSA,FW,Gotham FC,22,2002,12,212.0,18.0,9.1,2.4,2,53.0,0,10,11.0,13,1.08,1.0,1.0,0.0,0.0,-0.42,Matches
165,Nya Harrison,usUSA,DF,SD Wave,22,2002,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,12,3.0,0.0,0.0,0.0,0.0,-0.27,Matches
166,Josefine Hasbo,dkDEN,MF,Gotham FC,23,2001,9,595.0,66.0,25.4,6.6,7,77.0,3,2,30.0,5,2.09,8.0,8.0,0.0,0.0,-0.52,Matches
167,Ella Hase,usUSA,"FW,MF",Racing Louisville,22,2002,23,,65.0,63.8,16.6,17,81.0,7,6,20.0,3,1.38,17.0,19.0,-2.0,-0.12,-0.01,Matches
168,Ashley Hatch,usUSA,"FW,MF",Washington Spirit,29,1995,10,823.0,82.0,35.2,9.1,9,86.0,7,1,45.0,0,1.9,17.0,13.0,4.0,0.44,0.14,Matches
169,Manaka Hayashi,jpJPN,MF,Chicago Stars,20,2004,17,655.0,39.0,28.0,7.3,7,62.0,1,10,22.0,6,0.88,13.0,12.0,1.0,0.14,1.37,Matches
170,Anna Heilferty,usUSA,DF,Houston Dash,25,1999,5,66.0,13.0,2.8,0.7,0,,0,5,13.0,2,1.4,0.0,0.0,0.0,0.0,0.47,Matches
171,Kathrin Hendrich,deGER,DF,Chicago Stars,32,1992,13,,85.0,47.0,12.2,12,89.0,11,1,26.0,0,1.08,21.0,26.0,-5.0,-0.41,0.82,Matches
172,Oihane Hernández,esESP,"DF,MF",Orlando Pride,24,2000,20,,55.0,47.3,12.3,15,65.0,1,5,27.0,1,1.41,12.0,10.0,2.0,0.16,-0.13,Matches
173,Hal Hershfelt,usUSA,MF,Washington Spirit,23,2001,18,,71.0,54.7,14.2,15,82.0,11,3,18.0,0,1.67,22.0,11.0,11.0,0.77,0.94,Matches
174,Samantha Hiatt,usUSA,DF,Portland Thorns,27,1998,21,,89.0,79.8,20.7,20,90.0,19,1,68.0,5,1.57,25.0,20.0,5.0,0.24,-0.14,Matches
175,Rachel Hill,usUSA,MF,Bay FC,29,1995,23,,54.0,52.6,13.7,14,74.0,5,9,22.0,1,0.83,13.0,21.0,-8.0,-0.58,-0.02,Matches
176,Sophie Hirst,usUSA,MF,Portland Thorns,24,2000,3,39.0,13.0,1.7,0.4,0,,0,3,13.0,9,3.0,0.0,1.0,-1.0,-2.31,-2.62,Matches
177,Penelope Hocking,usUSA,"MF,FW",Bay FC,25,1999,18,864.0,48.0,36.9,9.6,10,71.0,2,8,20.0,1,0.78,11.0,16.0,-5.0,-0.52,0.09,Matches
178,Macey Hodge,usUSA,MF,Angel City FC,23,2001,16,755.0,47.0,32.3,8.4,9,68.0,2,7,20.0,6,1.06,6.0,14.0,-8.0,-0.95,-0.84,Matches
179,Shelby Hogan,usUSA,GK,Gotham FC,26,1998,2,180.0,90.0,7.7,2.0,2,90.0,2,0,,15,0.5,2.0,4.0,-2.0,-1.0,-1.5,Matches
180,Shae Holmes,usUSA,"DF,MF",Reign,24,2000,16,835.0,52.0,35.7,9.3,8,85.0,5,8,20.0,6,1.56,17.0,13.0,4.0,0.43,0.49,Matches
181,Haley Hopkins,usUSA,"MF,FW",Current,26,1998,20,440.0,22.0,18.8,4.9,3,67.0,0,17,14.0,5,2.33,9.0,6.0,3.0,0.61,-0.95,Matches
182,Jaelin Howell,usUSA,MF,Gotham FC,25,1999,25,,90.0,95.9,24.9,25,90.0,23,0,,0,1.5,33.0,24.0,9.0,0.36,-0.59,Matches
183,Kelli Hubly,usUSA,DF,Bay FC,30,1994,9,653.0,73.0,27.9,7.3,7,78.0,3,2,55.0,14,0.78,9.0,12.0,-3.0,-0.41,0.23,Matches
184,Sofia Huerta,usUSA,"DF,MF",Reign,32,1992,13,,90.0,50.0,13.0,13,90.0,13,0,,0,1.29,15.0,16.0,-1.0,-0.08,-0.38,Matches
185,Taylor Huff,usUSA,MF,Bay FC,22,2002,26,,86.0,95.0,24.7,26,86.0,18,0,,0,0.77,26.0,39.0,-13.0,-0.53,1.01,Matches
186,Jordyn Huitema,caCAN,FW,Reign,23,2001,22,,70.0,65.8,17.1,18,80.0,8,4,27.0,1,1.3,20.0,17.0,3.0,0.18,0.18,Matches
187,Claire Hutton,usUSA,MF,Current,19,2006,25,,73.0,77.7,20.2,22,78.0,5,3,31.0,1,2.38,37.0,8.0,29.0,1.44,0.23,Matches
188,Laurel Ivory,usUSA,GK,Current,25,1999,2,180.0,90.0,7.7,2.0,2,90.0,2,0,,24,3.0,4.0,0.0,4.0,2.0,0.67,Matches
189,DeAira Jackson,usUSA,GK,Royals,22,2002,0,,,,,0,,0,0,,6,,,,,,,Matches
190,Riley Jackson,usUSA,MF,NC Courage,19,2005,25,,79.0,83.9,21.8,23,83.0,12,2,23.0,0,1.36,31.0,34.0,-3.0,-0.14,-0.38,Matches
191,Simone Jackson,usUSA,MF,Orlando Pride,22,2003,8,213.0,27.0,9.1,2.4,1,45.0,0,7,24.0,5,0.88,3.0,0.0,3.0,1.27,1.14,Matches
192,Natalie Jacobs,usUSA,"DF,MF",NC Courage,27,1997,6,361.0,60.0,15.4,4.0,4,89.0,3,2,3.0,1,1.67,9.0,7.0,2.0,0.5,0.68,Matches
193,Natalie Jacobs,usUSA,DF,Houston Dash,27,1997,16,,85.0,58.0,15.1,15,90.0,14,1,13.0,0,1.25,21.0,21.0,0.0,0.0,1.1,Matches
194,Angharad James,wlsWAL,MF,Reign,30,1994,14,892.0,64.0,38.1,9.9,11,79.0,5,3,8.0,9,1.5,11.0,12.0,-1.0,-0.1,-0.35,Matches
195,Sveindís Jane Jónsdóttir,isISL,"MF,FW",Angel City FC,23,2001,13,,79.0,43.8,11.4,12,82.0,7,1,45.0,0,0.92,9.0,15.0,-6.0,-0.53,-0.25,Matches
196,Ellie Jean,usUSA,DF,Racing Louisville,28,1997,23,,90.0,88.5,23.0,23,90.0,23,0,,2,1.46,34.0,34.0,0.0,0.0,1.0,Matches
197,Mwanalima Jereko,keKEN,MF,Current,27,1997,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,3,3.0,0.0,0.0,0.0,0.0,-1.39,Matches
198,Hannah Johnson,usUSA,DF,Angel City FC,21,2003,1,29.0,29.0,1.2,0.3,0,,0,1,29.0,3,1.0,1.0,1.0,0.0,0.0,0.39,Matches
199,Micayla Johnson,usUSA,FW,Chicago Stars,17,2008,15,166.0,11.0,7.1,1.8,0,,0,15,11.0,7,0.73,5.0,7.0,-2.0,-1.08,-0.26,Matches
200,Sydney Jones,,DF,Royals,,,1,7.0,7.0,0.3,0.1,0,,0,1,7.0,1,3.0,1.0,0.0,1.0,12.86,13.44,Matches
201,Jameese Joseph,usUSA,"FW,MF",Chicago Stars,22,2002,21,,66.0,59.6,15.5,16,79.0,4,5,28.0,0,0.76,20.0,27.0,-7.0,-0.45,0.98,Matches
202,Mia Justus,usUSA,GK,Royals,22,2002,2,180.0,90.0,7.7,2.0,2,90.0,2,0,,16,2.0,3.0,1.0,2.0,1.0,1.67,Matches
203,Avery Kalitta,,MF,Racing Louisville,,,0,,,,,0,,0,0,,21,,,,,,,Matches
204,Uchenna Kanu,ngNGA,FW,Racing Louisville,27,1997,7,61.0,9.0,2.6,0.7,0,,0,7,9.0,5,0.57,1.0,3.0,-2.0,-2.95,-2.91,Matches
205,Moira Kelley,usUSA,DF,Portland Thorns,22,2002,0,,,,,0,,0,0,,2,,,,,,,Matches
206,Alanna Kennedy,auAUS,"MF,DF",Angel City FC,30,1995,16,,84.0,57.6,15.0,16,84.0,11,0,,0,1.06,20.0,23.0,-3.0,-0.2,0.43,Matches
207,Savannah King,usUSA,DF,Angel City FC,19,2005,8,708.0,89.0,30.3,7.9,8,89.0,5,0,,0,1.75,14.0,14.0,0.0,0.0,0.55,Matches
208,Aubrey Kingsbury,usUSA,GK,Washington Spirit,33,1991,25,,88.0,94.2,24.5,25,88.0,24,0,,1,1.71,39.0,29.0,10.0,0.41,1.07,Matches
209,Rosemonde Kouassi,ciCIV,"MF,FW",Washington Spirit,23,2001,17,,64.0,46.2,12.0,11,78.0,6,6,37.0,2,1.6,22.0,15.0,7.0,0.58,0.44,Matches
210,Shinomi Koyama,jpJPN,"MF,FW",NC Courage,20,2005,25,,57.0,60.8,15.8,16,76.0,5,9,22.0,1,1.4,24.0,18.0,6.0,0.38,1.16,Matches
211,Casey Krueger,usUSA,"DF,MF",Washington Spirit,34,1990,9,599.0,67.0,25.6,6.7,7,77.0,3,2,29.0,0,1.89,11.0,5.0,6.0,0.9,0.75,Matches
212,Natalia Kuikka,fiFIN,DF,Chicago Stars,29,1995,7,355.0,51.0,15.2,3.9,5,66.0,2,2,13.0,0,1.14,5.0,5.0,0.0,0.0,1.0,Matches
213,Racheal Kundananji,zmZAM,"FW,MF",Bay FC,24,2000,24,,78.0,80.0,20.8,20,87.0,15,4,35.0,0,0.83,23.0,32.0,-9.0,-0.43,0.72,Matches
214,Kaleigh Kurtz,usUSA,DF,NC Courage,27,1997,26,,90.0,100.0,26.0,26,90.0,26,0,,0,1.35,37.0,39.0,-2.0,-0.08,,Matches
215,Lo'eau LaBonta,usUSA,MF,Current,31,1993,23,,85.0,83.5,21.7,21,90.0,18,2,37.0,0,2.33,40.0,10.0,30.0,1.38,-0.02,Matches
216,Cloé Lacasse,caCAN,MF,Royals,31,1993,12,701.0,58.0,30.0,7.8,8,71.0,0,4,33.0,0,1.58,14.0,8.0,6.0,0.77,1.87,Matches
217,Clarissa Larisey,caCAN,FW,Houston Dash,25,1999,10,385.0,39.0,16.5,4.3,5,50.0,0,5,27.0,1,1.2,5.0,7.0,-2.0,-0.47,-0.01,Matches
218,Rose Lavelle,usUSA,MF,Gotham FC,29,1995,16,,65.0,44.4,11.5,13,74.0,3,3,24.0,0,1.74,18.0,10.0,8.0,0.69,0.56,Matches
219,Karlie Lema,usUSA,"FW,MF",Bay FC,21,2003,24,,55.0,56.6,14.7,15,73.0,1,9,25.0,2,0.58,11.0,23.0,-12.0,-0.82,-0.55,Matches
220,Ally Lemos,usUSA,MF,Orlando Pride,20,2004,26,,55.0,61.2,15.9,16,75.0,6,10,23.0,0,1.54,16.0,17.0,-1.0,-0.06,-0.76,Matches
221,Adriana Leon,caCAN,FW,SD Wave,32,1992,26,,53.0,58.9,15.3,17,67.0,2,9,26.0,0,1.37,21.0,19.0,2.0,0.13,-0.34,Matches
222,Julia Lester,usUSA,DF,Reign,27,1998,0,,,,,0,,0,0,,4,,,,,,,Matches
223,Katie Lind,usUSA,DF,Houston Dash,30,1994,16,,73.0,50.1,13.0,13,90.0,13,3,1.0,10,0.94,12.0,22.0,-10.0,-0.77,-0.61,Matches
224,Payton Linnehan,usUSA,"MF,FW",Portland Thorns,23,2001,13,432.0,33.0,18.5,4.8,4,50.0,0,9,26.0,3,1.46,7.0,4.0,3.0,0.62,0.44,Matches
225,Payton Linnehan,usUSA,"MF,FW",NC Courage,23,2001,9,490.0,54.0,20.9,5.4,6,74.0,1,3,15.0,0,1.56,9.0,6.0,3.0,0.55,0.79,Matches
226,Valerin Loboa,coCOL,FW,Portland Thorns,17,2007,2,37.0,19.0,1.6,0.4,0,,0,2,19.0,2,1.5,1.0,0.0,1.0,2.43,2.2,Matches
227,Alex Loera,usUSA,MF,Royals,25,1999,1,7.0,7.0,0.3,0.1,0,,0,1,7.0,0,0.0,0.0,1.0,-1.0,-12.86,-12.36,Matches
228,Mary Long,usUSA,FW,Current,18,2007,10,186.0,19.0,7.9,2.1,1,57.0,0,9,14.0,10,2.1,3.0,2.0,1.0,0.48,-0.98,Matches
229,Maitane López Millán,esESP,MF,Chicago Stars,29,1995,22,,75.0,70.5,18.3,20,80.0,10,2,22.0,0,0.73,19.0,39.0,-20.0,-1.09,-0.83,Matches
230,Lorena,brBRA,GK,Current,27,1997,24,,90.0,92.3,24.0,24,90.0,24,0,,0,2.36,45.0,13.0,32.0,1.33,-0.67,Matches
231,Melissa Lowder,usUSA,GK,Bay FC,28,1997,0,,,,,0,,0,0,,7,,,,,,,Matches
232,Luana,brBRA,MF,Orlando Pride,31,1993,4,42.0,11.0,1.8,0.5,0,,0,4,11.0,5,1.6,1.0,1.0,0.0,0.0,-0.23,Matches
233,Ludmila,brBRA,FW,Chicago Stars,30,1994,24,,76.0,77.8,20.2,21,82.0,10,3,31.0,0,0.83,29.0,43.0,-14.0,-0.69,0.7,Matches
234,Katie Lund,usUSA,GK,Racing Louisville,28,1996,6,540.0,90.0,23.1,6.0,6,90.0,6,0,,1,0.83,6.0,12.0,-6.0,-1.0,-1.15,Matches
235,Hanna Lundkvist,seSWE,DF,SD Wave,22,2002,26,,82.0,90.8,23.6,24,87.0,17,2,23.0,0,1.37,38.0,28.0,10.0,0.42,1.68,Matches
236,Tyler Lussi,usUSA,"MF,DF",NC Courage,30,1995,21,,57.0,50.8,13.2,14,76.0,3,7,17.0,2,1.62,19.0,15.0,4.0,0.3,0.77,Matches
237,Hailie Mace,usUSA,DF,Current,27,1997,23,,66.0,65.1,16.9,15,90.0,15,8,22.0,0,2.33,28.0,10.0,18.0,1.06,-0.92,Matches
238,Sandy MacIver,sctSCO,GK,Washington Spirit,26,1998,2,135.0,68.0,5.8,1.5,1,90.0,1,1,45.0,24,0.0,3.0,4.0,-1.0,-0.67,-1.07,Matches
239,Halle Mackiewicz,usUSA,GK,Chicago Stars,23,2001,4,271.0,68.0,11.6,3.0,3,90.0,3,1,1.0,8,0.5,4.0,5.0,-1.0,-0.33,0.58,Matches
240,Heather Macnab,,FW,NC Courage,,,2,2.0,1.0,0.1,0.0,0,,0,2,1.0,7,1.5,0.0,0.0,0.0,0.0,0.08,Matches
241,Maiara,brBRA,MF,Angel City FC,20,2004,14,482.0,34.0,20.6,5.4,4,74.0,1,10,19.0,2,1.07,10.0,7.0,3.0,0.56,1.19,Matches
242,Taylor Malham,usUSA,DF,Chicago Stars,25,1999,26,,90.0,100.0,26.0,26,90.0,26,0,,0,0.77,32.0,54.0,-22.0,-0.85,,Matches
243,Alyssa Malonson,usUSA,DF,Bay FC,25,1999,26,,73.0,81.6,21.2,21,85.0,14,5,24.0,0,0.77,23.0,37.0,-14.0,-0.66,-0.45,Matches
244,Marta,brBRA,"FW,MF",Orlando Pride,38,1986,22,,72.0,68.1,17.7,18,82.0,9,4,29.0,1,1.54,22.0,19.0,3.0,0.17,-0.19,Matches
245,Lacho Marta,aoANG,"FW,DF",Current,25,1999,6,157.0,26.0,6.7,1.7,2,63.0,0,4,8.0,8,2.0,2.0,4.0,-2.0,-1.15,-2.71,Matches
246,Nealy Martin,usUSA,"MF,DF",Gotham FC,26,1998,16,,66.0,45.3,11.8,12,80.0,8,4,25.0,2,1.44,16.0,12.0,4.0,0.34,-0.08,Matches
247,Nealy Martin,usUSA,MF,Angel City FC,26,1998,7,585.0,84.0,25.0,6.5,6,90.0,6,1,45.0,0,0.57,6.0,8.0,-2.0,-0.31,0.1,Matches
248,Brianna Martinez,usUSA,DF,Orlando Pride,24,2000,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,7,3.0,0.0,0.0,0.0,0.0,-0.23,Matches
249,Emily Mason,usUSA,DF,Reign,22,2002,12,260.0,22.0,11.1,2.9,2,75.0,1,10,11.0,14,1.92,6.0,3.0,3.0,1.04,1.04,Matches
250,Manaka Matsukubo,jpJPN,"FW,MF",NC Courage,20,2004,26,,81.0,89.7,23.3,24,85.0,11,2,29.0,0,1.35,35.0,33.0,2.0,0.09,1.57,Matches
251,Zoe Matthews,usUSA,MF,Houston Dash,17,2007,0,,,,,0,,0,0,,4,,,,,,,Matches
252,Sophia Mattice,usUSA,DF,Angel City FC,22,2002,3,27.0,9.0,1.2,0.3,0,,0,3,9.0,3,0.0,0.0,1.0,-1.0,-3.33,-2.98,Matches
253,Tyler McCamey,usUSA,MF,Current,23,2001,0,,,,,0,,0,0,,1,,,,,,,Matches
254,Tyler McCamey,usUSA,MF,Gotham FC,23,2001,0,,,,,0,,0,0,,2,,,,,,,Matches
255,Ainsley McCammon,usUSA,MF,Reign,17,2007,16,579.0,36.0,24.7,6.4,7,66.0,2,9,13.0,9,1.53,5.0,6.0,-1.0,-0.16,-0.36,Matches
256,Savannah McCaskill,usUSA,MF,SD Wave,28,1996,21,,85.0,76.5,19.9,20,87.0,17,1,45.0,0,1.48,29.0,23.0,6.0,0.3,0.14,Matches
257,Phoebe McClernon,usUSA,DF,Reign,27,1997,25,,87.0,92.6,24.1,24,89.0,22,1,23.0,0,1.5,26.0,24.0,2.0,0.08,-0.43,Matches
258,Haley McCutcheon,usUSA,MF,Orlando Pride,28,1996,26,,84.0,92.8,24.1,25,86.0,19,1,32.0,0,1.54,32.0,23.0,9.0,0.37,1.98,Matches
259,Amanda McGlynn,usUSA,GK,Royals,26,1998,24,,90.0,92.3,24.0,24,90.0,24,0,,1,0.88,25.0,41.0,-16.0,-0.67,-1.67,Matches
260,Mallie McKenzie,usUSA,DF,Portland Thorns,24,2000,23,916.0,40.0,39.1,10.2,8,80.0,4,15,19.0,3,1.56,20.0,15.0,5.0,0.49,0.36,Matches
261,Tara McKeown,usUSA,DF,Washington Spirit,25,1999,25,,84.0,89.6,23.3,24,85.0,21,1,45.0,1,1.71,36.0,28.0,8.0,0.34,-0.03,Matches
262,Charlotte Mclean,auAUS,DF,NC Courage,24,2000,0,,,,,0,,0,0,,4,,,,,,,Matches
263,Quincy McMahon,usUSA,DF,SD Wave,21,2003,7,12.0,2.0,0.5,0.1,0,,0,7,2.0,13,0.75,1.0,1.0,0.0,0.0,-0.27,Matches
264,Kristen McNabb,usUSA,DF,SD Wave,30,1994,23,,77.0,75.4,19.6,19,90.0,18,4,14.0,1,1.42,30.0,25.0,5.0,0.26,-0.06,Matches
265,Emily Menges,usUSA,DF,Bay FC,32,1992,5,260.0,52.0,11.1,2.9,3,67.0,1,2,30.0,4,1.4,5.0,4.0,1.0,0.35,1.04,Matches
266,Sally Menti,usUSA,MF,Reign,22,2002,15,972.0,65.0,41.5,10.8,10,82.0,4,5,31.0,2,1.31,18.0,15.0,3.0,0.28,0.28,Matches
267,Maddie Mercado,usUSA,"FW,MF",Reign,23,2001,14,551.0,39.0,23.5,6.1,6,77.0,1,8,11.0,1,1.53,10.0,6.0,4.0,0.65,0.7,Matches
268,Morgan Messner,usUSA,GK,Portland Thorns,24,2000,0,,,,,0,,0,0,,7,,,,,,,Matches
269,Paige Metayer,usUSA,DF,Washington Spirit,24,2000,9,420.0,47.0,17.9,4.7,4,68.0,1,5,30.0,1,1.25,7.0,6.0,1.0,0.21,-0.16,Matches
270,Samantha Meza,usUSA,MF,Reign,23,2001,26,,75.0,83.5,21.7,21,88.0,17,5,21.0,0,1.44,26.0,22.0,4.0,0.18,0.42,Matches
271,Tatumn Milazzo,usUSA,DF,Royals,26,1998,0,,,,,0,,0,0,,1,,,,,,,Matches
272,Cassie Miller,usUSA,GK,Reign,29,1995,0,,,,,0,,0,0,,7,,,,,,,Matches
273,Lauren Milliet,usUSA,DF,Racing Louisville,28,1996,19,,80.0,65.1,16.9,16,90.0,16,3,28.0,1,1.6,26.0,25.0,1.0,0.06,0.5,Matches
274,Narumi Miura,jpJPN,MF,Washington Spirit,27,1997,23,,72.0,70.7,18.4,20,80.0,9,3,16.0,2,1.67,25.0,27.0,-2.0,-0.11,-1.55,Matches
275,Paige Monaghan,usUSA,"MF,DF",Royals,28,1996,16,,66.0,45.2,11.7,14,71.0,3,2,33.0,0,1.25,16.0,11.0,5.0,0.43,1.76,Matches
276,Gift Monday,ngNGA,"FW,MF",Washington Spirit,23,2001,22,,58.0,54.5,14.2,13,78.0,3,9,30.0,0,1.68,22.0,19.0,3.0,0.21,-0.3,Matches
277,Nérilia Mondésir,htHAI,"MF,FW",Reign,26,1999,20,,51.0,43.2,11.2,11,74.0,2,9,21.0,1,1.33,11.0,11.0,0.0,0.0,-0.2,Matches
278,Anna Moorhouse,engENG,GK,Orlando Pride,29,1995,25,,88.0,94.4,24.6,25,88.0,24,0,,1,1.56,32.0,26.0,6.0,0.24,0.24,Matches
279,Madeline Moreau,usUSA,DF,Bay FC,24,2000,15,431.0,29.0,18.4,4.8,5,66.0,1,10,10.0,10,0.73,3.0,7.0,-4.0,-0.84,-0.32,Matches
280,Esme Morgan,engENG,DF,Washington Spirit,24,2000,25,,78.0,83.6,21.7,21,86.0,18,4,36.0,0,1.68,33.0,27.0,6.0,0.28,-0.43,Matches
281,Miyabi Moriya,jpJPN,"DF,MF",Angel City FC,28,1996,25,,57.0,60.8,15.8,13,82.0,7,12,29.0,1,1.04,15.0,26.0,-11.0,-0.7,-0.79,Matches
282,Makenna Morris,usUSA,DF,Racing Louisville,22,2002,6,338.0,56.0,14.4,3.8,4,80.0,2,2,10.0,0,1.17,6.0,6.0,0.0,0.0,0.13,Matches
283,Makenna Morris,usUSA,"MF,DF",Washington Spirit,22,2002,16,862.0,54.0,36.8,9.6,10,76.0,4,6,18.0,0,1.75,15.0,13.0,2.0,0.21,-0.22,Matches
284,Perle Morroni,frFRA,DF,SD Wave,27,1997,25,,83.0,88.4,23.0,23,89.0,15,2,7.0,1,1.38,36.0,32.0,4.0,0.17,-0.82,Matches
285,Olivia Moultrie,usUSA,"MF,FW",Portland Thorns,19,2005,26,,83.0,92.4,24.0,24,88.0,19,2,25.0,0,1.54,29.0,28.0,1.0,0.04,-2.98,Matches
286,Brecken Mozingo,usUSA,"MF,FW",Royals,23,2001,23,,51.0,50.2,13.0,13,76.0,5,10,19.0,1,1.04,11.0,22.0,-11.0,-0.84,-0.61,Matches
287,Casey Murphy,usUSA,GK,NC Courage,28,1996,21,,90.0,80.8,21.0,21,90.0,21,0,,5,1.33,31.0,32.0,-1.0,-0.05,0.15,Matches
288,Lily Nabet,usUSA,MF,Angel City FC,25,1999,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,14,0.0,0.0,0.0,0.0,0.0,0.38,Matches
289,Alyssa Naeher,usUSA,GK,Chicago Stars,36,1988,23,,90.0,88.4,23.0,23,90.0,22,0,,0,0.78,28.0,49.0,-21.0,-0.91,-0.58,Matches
290,Aria Nagai,,MF,Royals,,,11,579.0,53.0,24.7,6.4,7,63.0,0,4,35.0,11,1.18,8.0,8.0,0.0,0.0,0.72,Matches
291,Leilanni Nesbeth,bmBER,MF,Chicago Stars,23,2001,10,227.0,23.0,9.7,2.5,2,60.0,0,8,14.0,9,1.4,3.0,4.0,-1.0,-0.4,0.5,Matches
292,Amber Nguyen,usUSA,MF,NC Courage,22,2002,0,,,,,0,,0,0,,1,,,,,,,Matches
293,Paige Nielsen,usUSA,DF,Houston Dash,31,1993,26,,85.0,94.7,24.6,24,90.0,24,2,29.0,0,1.15,26.0,35.0,-9.0,-0.37,1.83,Matches
294,Bre Norris,usUSA,GK,Angel City FC,21,2003,0,,,,,0,,0,0,,2,,,,,,,Matches
295,Stella Nyamekye,ghGHA,MF,Gotham FC,19,2005,2,24.0,12.0,1.0,0.3,0,,0,2,12.0,10,1.5,1.0,0.0,1.0,3.75,3.4,Matches
296,Denise O'Sullivan,ieIRL,MF,NC Courage,30,1994,18,,84.0,64.4,16.7,17,87.0,16,1,21.0,1,1.44,24.0,25.0,-1.0,-0.06,0.05,Matches
297,Isabella Obaze,dkDEN,DF,Portland Thorns,22,2002,21,,80.0,71.8,18.7,21,80.0,12,0,,3,1.57,28.0,21.0,7.0,0.38,0.38,Matches
298,Chiamaka Okwuchukwu,ngNGA,FW,SD Wave,19,2005,3,144.0,48.0,6.2,1.6,1,68.0,0,2,38.0,2,1.0,4.0,3.0,1.0,0.62,0.38,Matches
299,Bárbara Olivieri,veVEN,"MF,FW",Houston Dash,22,2002,13,890.0,68.0,38.0,9.9,10,79.0,4,3,34.0,0,0.85,10.0,19.0,-9.0,-0.91,-0.72,Matches
300,Diana Ordoñez,mxMEX,FW,Houston Dash,23,2001,3,72.0,24.0,3.1,0.8,1,45.0,0,2,14.0,3,1.0,1.0,2.0,-1.0,-1.25,-0.81,Matches
301,Asisat Oshoala,ngNGA,FW,Bay FC,30,1994,12,462.0,39.0,19.7,5.1,5,67.0,1,7,18.0,3,1.0,2.0,7.0,-5.0,-0.97,-0.49,Matches
302,Lizbeth Ovalle,mxMEX,"FW,MF",Orlando Pride,25,1999,8,665.0,83.0,28.4,7.4,7,89.0,6,1,45.0,0,1.5,10.0,12.0,-2.0,-0.27,-0.7,Matches
303,Katie O’Kane,,MF,Racing Louisville,,,26,,52.0,58.2,15.1,16,72.0,2,10,21.0,0,1.41,19.0,24.0,-5.0,-0.33,-0.51,Matches
304,Avery Patterson,usUSA,"DF,MF",Houston Dash,22,2002,22,,85.0,79.9,20.8,22,85.0,18,0,,0,1.36,24.0,27.0,-3.0,-0.14,1.58,Matches
305,Catherine Paulson,usUSA,MF,Bay FC,23,2001,6,96.0,16.0,4.1,1.1,1,45.0,0,5,10.0,13,0.5,1.0,3.0,-2.0,-1.87,-1.35,Matches
306,Olivia Pena,usUSA,MF,NC Courage,21,2003,0,,,,,0,,0,0,,5,,,,,,,Matches
307,Jayden Perry,usUSA,DF,Portland Thorns,23,2001,18,,72.0,55.6,14.5,14,89.0,13,4,13.0,7,1.21,15.0,20.0,-5.0,-0.35,-1.39,Matches
308,Courtney Petersen,usUSA,DF,Racing Louisville,27,1997,24,,86.0,88.5,23.0,23,89.0,21,1,22.0,2,1.36,30.0,32.0,-2.0,-0.09,0.25,Matches
309,Alex Pfeiffer,usUSA,MF,Current,17,2007,4,95.0,24.0,4.1,1.1,1,58.0,0,3,12.0,4,1.4,3.0,0.0,3.0,2.84,1.52,Matches
310,Casey Phair,krKOR,FW,Angel City FC,17,2007,5,90.0,18.0,3.8,1.0,0,,0,5,18.0,7,0.2,1.0,4.0,-3.0,-3.0,-2.72,Matches
311,Carson Pickett,usUSA,"DF,MF",Orlando Pride,31,1993,22,,58.0,54.7,14.2,14,74.0,4,8,31.0,1,1.38,14.0,17.0,-3.0,-0.21,-0.98,Matches
312,Kiki Pickett,usUSA,MF,Bay FC,25,1999,19,,61.0,49.4,12.9,13,79.0,8,6,22.0,7,0.74,13.0,24.0,-11.0,-0.86,-0.55,Matches
313,Elli Pikkujämsä,fiFIN,DF,Racing Louisville,25,1999,1,9.0,9.0,0.4,0.1,0,,0,1,9.0,11,0.0,0.0,0.0,0.0,0.0,0.12,Matches
