ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
168,Natalie Jacobs,usUSA,DF,Houston Dash,27,1997,16,15,,15.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
169,Angharad James,wlsWAL,MF,Reign,30,1994,14,11,892.0,9.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
170,Sveindís Jane Jónsdóttir,isISL,"MF,FW",Angel City FC,23,2001,13,12,,11.4,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches
171,Ellie Jean,usUSA,DF,Racing Louisville,28,1997,23,23,,23.0,1,0,1,1,0,0,1,0,0.04,0.0,0.04,0.04,0.04,Matches
172,Mwanalima Jereko,keKEN,MF,Current,27,1997,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
173,Hannah Johnson,usUSA,DF,Angel City FC,21,2003,1,0,29.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
174,Micayla Johnson,usUSA,FW,Chicago Stars,17,2008,15,0,166.0,1.8,1,0,1,1,0,0,0,0,0.54,0.0,0.54,0.54,0.54,Matches
175,Sydney Jones,,DF,Royals,,,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
176,Jameese Joseph,usUSA,"FW,MF",Chicago Stars,22,2002,21,16,,15.5,4,2,6,4,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches
177,Mia Justus,usUSA,GK,Royals,22,2002,2,2,180.0,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
178,Uchenna Kanu,ngNGA,FW,Racing Louisville,27,1997,7,0,61.0,0.7,1,0,1,1,0,0,0,0,1.48,0.0,1.48,1.48,1.48,Matches
179,Alanna Kennedy,auAUS,"MF,DF",Angel City FC,30,1995,16,16,,15.0,1,1,2,1,0,0,0,0,0.07,0.07,0.13,0.07,0.13,Matches
180,Savannah King,usUSA,DF,Angel City FC,19,2005,8,8,708.0,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
181,Aubrey Kingsbury,usUSA,GK,Washington Spirit,33,1991,25,25,,24.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
182,Rosemonde Kouassi,ciCIV,"MF,FW",Washington Spirit,23,2001,17,11,,12.0,4,4,8,4,0,0,2,0,0.33,0.33,0.67,0.33,0.67,Matches
183,Shinomi Koyama,jpJPN,"MF,FW",NC Courage,20,2005,25,16,,15.8,3,1,4,3,0,0,1,0,0.19,0.06,0.25,0.19,0.25,Matches
184,Casey Krueger,usUSA,"DF,MF",Washington Spirit,34,1990,9,7,599.0,6.7,1,2,3,1,0,0,0,0,0.15,0.3,0.45,0.15,0.45,Matches
185,Natalia Kuikka,fiFIN,DF,Chicago Stars,29,1995,7,5,355.0,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
186,Racheal Kundananji,zmZAM,"FW,MF",Bay FC,24,2000,24,20,,20.8,4,4,8,4,0,0,6,0,0.19,0.19,0.38,0.19,0.38,Matches
187,Kaleigh Kurtz,usUSA,DF,NC Courage,27,1997,26,26,,26.0,1,0,1,1,0,0,1,0,0.04,0.0,0.04,0.04,0.04,Matches
188,Lo'eau LaBonta,usUSA,MF,Current,31,1993,23,21,,21.7,5,0,5,0,5,5,3,0,0.23,0.0,0.23,0.0,0.0,Matches
189,Cloé Lacasse,caCAN,MF,Royals,31,1993,12,8,701.0,7.8,1,1,2,1,0,0,3,0,0.13,0.13,0.26,0.13,0.26,Matches
190,Clarissa Larisey,caCAN,FW,Houston Dash,25,1999,10,5,385.0,4.3,1,1,2,1,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches
191,Rose Lavelle,usUSA,MF,Gotham FC,29,1995,16,13,,11.5,5,2,7,4,1,1,1,0,0.43,0.17,0.61,0.35,0.52,Matches
192,Karlie Lema,usUSA,"FW,MF",Bay FC,21,2003,24,15,,14.7,2,1,3,2,0,0,2,0,0.14,0.07,0.2,0.14,0.2,Matches
193,Ally Lemos,usUSA,MF,Orlando Pride,20,2004,26,16,,15.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
194,Adriana Leon,caCAN,FW,SD Wave,32,1992,26,17,,15.3,4,3,7,4,0,0,2,0,0.26,0.2,0.46,0.26,0.46,Matches
195,Katie Lind,usUSA,DF,Houston Dash,30,1994,16,13,,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
196,Payton Linnehan,usUSA,"MF,FW",Portland Thorns,23,2001,13,4,432.0,4.8,1,0,1,1,0,0,0,0,0.21,0.0,0.21,0.21,0.21,Matches
197,Payton Linnehan,usUSA,"MF,FW",NC Courage,23,2001,9,6,490.0,5.4,0,2,2,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37,Matches
198,Valerin Loboa,coCOL,FW,Portland Thorns,17,2007,2,0,37.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
199,Alex Loera,usUSA,MF,Royals,25,1999,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
200,Mary Long,usUSA,FW,Current,18,2007,10,1,186.0,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,Matches
201,Maitane López Millán,esESP,MF,Chicago Stars,29,1995,22,20,,18.3,0,2,2,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,Matches
202,Lorena,brBRA,GK,Current,27,1997,24,24,,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
203,Luana,brBRA,MF,Orlando Pride,31,1993,4,0,42.0,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
204,Ludmila,brBRA,FW,Chicago Stars,30,1994,24,21,,20.2,10,1,11,10,0,0,3,0,0.49,0.05,0.54,0.49,0.54,Matches
205,Katie Lund,usUSA,GK,Racing Louisville,28,1996,6,6,540.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
206,Hanna Lundkvist,seSWE,DF,SD Wave,22,2002,26,24,,23.6,1,3,4,1,0,0,2,0,0.04,0.13,0.17,0.04,0.17,Matches
207,Tyler Lussi,usUSA,"MF,DF",NC Courage,30,1995,21,14,,13.2,2,1,3,2,0,0,3,0,0.15,0.08,0.23,0.15,0.23,Matches
208,Hailie Mace,usUSA,DF,Current,27,1997,23,15,,16.9,0,5,5,0,0,0,2,0,0.0,0.3,0.3,0.0,0.3,Matches
209,Sandy MacIver,sctSCO,GK,Washington Spirit,26,1998,2,1,135.0,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
210,Halle Mackiewicz,usUSA,GK,Chicago Stars,23,2001,4,3,271.0,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
211,Heather Macnab,,FW,NC Courage,,,2,0,2.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
212,Maiara,brBRA,MF,Angel City FC,20,2004,14,4,482.0,5.4,2,0,2,2,0,0,3,0,0.37,0.0,0.37,0.37,0.37,Matches
213,Taylor Malham,usUSA,DF,Chicago Stars,25,1999,26,26,,26.0,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04,Matches
214,Alyssa Malonson,usUSA,DF,Bay FC,25,1999,26,21,,21.2,1,5,6,1,0,0,4,0,0.05,0.24,0.28,0.05,0.28,Matches
215,Marta,brBRA,"FW,MF",Orlando Pride,38,1986,22,18,,17.7,4,1,5,1,3,3,0,0,0.23,0.06,0.28,0.06,0.11,Matches
216,Lacho Marta,aoANG,"FW,DF",Current,25,1999,6,2,157.0,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
217,Nealy Martin,usUSA,"MF,DF",Gotham FC,26,1998,16,12,,11.8,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,Matches
218,Nealy Martin,usUSA,MF,Angel City FC,26,1998,7,6,585.0,6.5,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,Matches
219,Brianna Martinez,usUSA,DF,Orlando Pride,24,2000,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
220,Emily Mason,usUSA,DF,Reign,22,2002,12,2,260.0,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
221,Manaka Matsukubo,jpJPN,"FW,MF",NC Courage,20,2004,26,24,,23.3,11,4,15,11,0,1,4,0,0.47,0.17,0.64,0.47,0.64,Matches
222,Sophia Mattice,usUSA,DF,Angel City FC,22,2002,3,0,27.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
223,Ainsley McCammon,usUSA,MF,Reign,17,2007,16,7,579.0,6.4,1,0,1,1,0,0,0,0,0.16,0.0,0.16,0.16,0.16,Matches
224,Savannah McCaskill,usUSA,MF,SD Wave,28,1996,21,20,,19.9,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,Matches
225,Phoebe McClernon,usUSA,DF,Reign,27,1997,25,24,,24.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
226,Haley McCutcheon,usUSA,MF,Orlando Pride,28,1996,26,25,,24.1,3,4,7,3,0,0,2,0,0.12,0.17,0.29,0.12,0.29,Matches
227,Amanda McGlynn,usUSA,GK,Royals,26,1998,24,24,,24.0,0,1,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,Matches
228,Mallie McKenzie,usUSA,DF,Portland Thorns,24,2000,23,8,916.0,10.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
229,Tara McKeown,usUSA,DF,Washington Spirit,25,1999,25,24,,23.3,0,2,2,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,Matches
230,Quincy McMahon,usUSA,DF,SD Wave,21,2003,7,0,12.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
231,Kristen McNabb,usUSA,DF,SD Wave,30,1994,23,19,,19.6,2,0,2,2,0,0,3,0,0.1,0.0,0.1,0.1,0.1,Matches
232,Emily Menges,usUSA,DF,Bay FC,32,1992,5,3,260.0,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
233,Sally Menti,usUSA,MF,Reign,22,2002,15,10,972.0,10.8,1,1,2,1,0,0,4,0,0.09,0.09,0.19,0.09,0.19,Matches
234,Maddie Mercado,usUSA,"FW,MF",Reign,23,2001,14,6,551.0,6.1,0,1,1,0,0,0,1,0,0.0,0.16,0.16,0.0,0.16,Matches
235,Paige Metayer,usUSA,DF,Washington Spirit,24,2000,9,4,420.0,4.7,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,Matches
236,Samantha Meza,usUSA,MF,Reign,23,2001,26,21,,21.7,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,Matches
237,Lauren Milliet,usUSA,DF,Racing Louisville,28,1996,19,16,,16.9,0,1,1,0,0,0,0,0,0.0,0.06,0.06,0.0,0.06,Matches
238,Narumi Miura,jpJPN,MF,Washington Spirit,27,1997,23,20,,18.4,0,3,3,0,0,0,5,0,0.0,0.16,0.16,0.0,0.16,Matches
239,Paige Monaghan,usUSA,"MF,DF",Royals,28,1996,16,14,,11.7,5,2,7,5,0,0,5,0,0.43,0.17,0.6,0.43,0.6,Matches
240,Gift Monday,ngNGA,"FW,MF",Washington Spirit,23,2001,22,13,,14.2,8,2,10,8,0,0,2,0,0.56,0.14,0.71,0.56,0.71,Matches
241,Nérilia Mondésir,htHAI,"MF,FW",Reign,26,1999,20,11,,11.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
242,Anna Moorhouse,engENG,GK,Orlando Pride,29,1995,25,25,,24.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
243,Madeline Moreau,usUSA,DF,Bay FC,24,2000,15,5,431.0,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
244,Esme Morgan,engENG,DF,Washington Spirit,24,2000,25,21,,21.7,2,2,4,2,0,0,2,0,0.09,0.09,0.18,0.09,0.18,Matches
245,Miyabi Moriya,jpJPN,"DF,MF",Angel City FC,28,1996,25,13,,15.8,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,Matches
246,Makenna Morris,usUSA,DF,Racing Louisville,22,2002,6,4,338.0,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
247,Makenna Morris,usUSA,"MF,DF",Washington Spirit,22,2002,16,10,862.0,9.6,1,0,1,1,0,0,0,0,0.1,0.0,0.1,0.1,0.1,Matches
248,Perle Morroni,frFRA,DF,SD Wave,27,1997,25,23,,23.0,1,4,5,1,0,0,3,0,0.04,0.17,0.22,0.04,0.22,Matches
249,Olivia Moultrie,usUSA,"MF,FW",Portland Thorns,19,2005,26,24,,24.0,8,1,9,7,1,2,1,0,0.33,0.04,0.37,0.29,0.33,Matches
250,Brecken Mozingo,usUSA,"MF,FW",Royals,23,2001,23,13,,13.0,3,0,3,3,0,0,0,0,0.23,0.0,0.23,0.23,0.23,Matches
251,Casey Murphy,usUSA,GK,NC Courage,28,1996,21,21,,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
252,Lily Nabet,usUSA,MF,Angel City FC,25,1999,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
253,Alyssa Naeher,usUSA,GK,Chicago Stars,36,1988,23,23,,23.0,1,0,1,1,0,0,0,0,0.04,0.0,0.04,0.04,0.04,Matches
254,Aria Nagai,,MF,Royals,,,11,7,579.0,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
255,Leilanni Nesbeth,bmBER,MF,Chicago Stars,23,2001,10,2,227.0,2.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches
256,Paige Nielsen,usUSA,DF,Houston Dash,31,1993,26,24,,24.6,1,0,1,1,0,0,1,0,0.04,0.0,0.04,0.04,0.04,Matches
257,Stella Nyamekye,ghGHA,MF,Gotham FC,19,2005,2,0,24.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
258,Denise O'Sullivan,ieIRL,MF,NC Courage,30,1994,18,17,,16.7,0,2,2,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,Matches
259,Isabella Obaze,dkDEN,DF,Portland Thorns,22,2002,21,21,,18.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
260,Chiamaka Okwuchukwu,ngNGA,FW,SD Wave,19,2005,3,1,144.0,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,0.62,0.62,Matches
261,Bárbara Olivieri,veVEN,"MF,FW",Houston Dash,22,2002,13,10,890.0,9.9,2,2,4,2,0,0,3,0,0.2,0.2,0.4,0.2,0.4,Matches
262,Diana Ordoñez,mxMEX,FW,Houston Dash,23,2001,3,1,72.0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
263,Asisat Oshoala,ngNGA,FW,Bay FC,30,1994,12,5,462.0,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
264,Lizbeth Ovalle,mxMEX,"FW,MF",Orlando Pride,25,1999,8,7,665.0,7.4,1,2,3,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41,Matches
265,Katie O’Kane,,MF,Racing Louisville,,,26,16,,15.1,1,3,4,1,0,0,2,0,0.07,0.2,0.26,0.07,0.26,Matches
266,Avery Patterson,usUSA,"DF,MF",Houston Dash,22,2002,22,22,,20.8,3,2,5,3,0,0,2,0,0.14,0.1,0.24,0.14,0.24,Matches
267,Catherine Paulson,usUSA,MF,Bay FC,23,2001,6,1,96.0,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
268,Jayden Perry,usUSA,DF,Portland Thorns,23,2001,18,14,,14.5,3,1,4,0,3,3,2,0,0.21,0.07,0.28,0.0,0.07,Matches
269,Courtney Petersen,usUSA,DF,Racing Louisville,27,1997,24,23,,23.0,0,3,3,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,Matches
270,Alex Pfeiffer,usUSA,MF,Current,17,2007,4,1,95.0,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
271,Casey Phair,krKOR,FW,Angel City FC,17,2007,5,0,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
272,Carson Pickett,usUSA,"DF,MF",Orlando Pride,31,1993,22,14,,14.2,3,2,5,3,0,0,0,0,0.21,0.14,0.35,0.21,0.35,Matches
273,Kiki Pickett,usUSA,MF,Bay FC,25,1999,19,13,,12.9,2,0,2,2,0,0,4,0,0.16,0.0,0.16,0.16,0.16,Matches
274,Elli Pikkujämsä,fiFIN,DF,Racing Louisville,25,1999,1,0,9.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
275,Brianna Pinto,usUSA,FW,NC Courage,24,2000,19,6,578.0,6.4,3,0,3,3,0,0,0,0,0.47,0.0,0.47,0.47,0.47,Matches
276,Madison Pogarch,usUSA,DF,Royals,27,1997,18,5,743.0,8.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
277,Gabi Portilho,brBRA,"MF,FW",Gotham FC,29,1995,17,11,974.0,10.8,3,3,6,3,0,0,3,0,0.28,0.28,0.55,0.28,0.55,Matches
278,Lara Prašnikar,siSVN,FW,Royals,26,1998,5,1,209.0,2.3,0,1,1,0,0,0,1,0,0.0,0.43,0.43,0.0,0.43,Matches
279,Christen Press,usUSA,FW,Angel City FC,36,1988,22,2,462.0,5.1,1,0,1,1,0,0,0,0,0.19,0.0,0.19,0.19,0.19,Matches
280,Nichelle Prince,caCAN,"FW,MF",Current,29,1995,21,6,754.0,8.4,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches
281,Sarah Puntigam,atAUT,MF,Houston Dash,32,1992,17,7,684.0,7.6,0,1,1,0,0,0,2,1,0.0,0.13,0.13,0.0,0.13,Matches
282,Margaret Purce,usUSA,"MF,FW",Gotham FC,29,1995,20,11,,11.9,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches
283,Nuria Rábano,esESP,DF,Royals,25,1999,22,21,,18.0,0,2,2,0,0,0,5,0,0.0,0.11,0.11,0.0,0.11,Matches
284,Rafaelle,brBRA,DF,Orlando Pride,33,1991,12,10,813.0,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
285,Brittany Ratcliffe,usUSA,MF,Washington Spirit,30,1994,14,6,566.0,6.3,1,1,2,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,Matches
286,Felicitas Rauch,deGER,"MF,DF",NC Courage,28,1996,10,8,671.0,7.5,2,1,3,2,0,0,1,0,0.27,0.13,0.4,0.27,0.4,Matches
287,Lilly Reale,usUSA,DF,Gotham FC,21,2003,26,21,,21.6,1,1,2,1,0,0,1,0,0.05,0.05,0.09,0.05,0.09,Matches
288,KK Ream,usUSA,MF,Royals,15,2009,9,1,180.0,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5,Matches
289,Megan Reid,usUSA,DF,Angel City FC,28,1996,18,9,896.0,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
290,Reyna Reyes,mxMEX,DF,Portland Thorns,23,2001,26,25,,24.5,3,1,4,3,0,0,4,0,0.12,0.04,0.16,0.12,0.16,Matches
291,Chloe Ricketts,usUSA,"MF,FW",Washington Spirit,17,2007,7,2,163.0,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
292,Chloe Ricketts,usUSA,MF,Houston Dash,17,2007,1,0,8.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
293,Kaleigh Riehl,usUSA,DF,Royals,28,1996,12,10,831.0,9.2,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
294,Ali Riley,nzNZL,"DF,MF",Angel City FC,37,1987,2,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
295,Gabrielle Robinson,usUSA,DF,Current,23,2001,8,6,399.0,4.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,Matches
296,Cari Roccaro,usUSA,"DF,MF",Chicago Stars,30,1994,14,14,,13.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
297,Trinity Rodman,usUSA,"MF,FW",Washington Spirit,22,2002,15,9,932.0,10.4,5,2,7,5,0,1,0,0,0.48,0.19,0.68,0.48,0.68,Matches
298,Izzy Rodriguez,usUSA,DF,Current,25,1999,26,22,,23.1,1,6,7,1,0,0,1,0,0.04,0.26,0.3,0.04,0.3,Matches
299,Raquel Rodríguez,crCRC,MF,Current,31,1993,20,7,716.0,8.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
300,Yazmeen Ryan,usUSA,"FW,MF",Houston Dash,25,1999,24,24,,24.0,4,3,7,4,0,1,1,0,0.17,0.12,0.29,0.17,0.29,Matches
301,Emily Sams,usUSA,DF,Orlando Pride,25,1999,25,24,,24.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
302,Ashley Sanchez,usUSA,"FW,MF",NC Courage,25,1999,23,17,,15.6,2,2,4,2,0,0,0,0,0.13,0.13,0.26,0.13,0.26,Matches
303,Maria Sanchez,mxMEX,"MF,FW",SD Wave,28,1996,12,7,571.0,6.3,3,2,5,3,0,1,1,0,0.47,0.32,0.79,0.47,0.79,Matches
304,Leicy Santos,coCOL,MF,Washington Spirit,28,1996,16,11,,12.0,1,3,4,1,0,0,2,0,0.08,0.25,0.33,0.08,0.33,Matches
305,Ally Schlegel,usUSA,"FW,MF",Chicago Stars,24,2000,26,24,,22.5,3,5,8,3,0,0,2,0,0.13,0.22,0.36,0.13,0.36,Matches
306,Sophie Schmidt,caCAN,MF,Houston Dash,36,1988,10,3,218.0,2.4,2,0,2,2,0,0,0,0,0.83,0.0,0.83,0.83,0.83,Matches
307,Sarah Schupansky,usUSA,"MF,FW",Gotham FC,21,2003,23,16,,14.3,1,5,6,1,0,0,3,0,0.07,0.35,0.42,0.07,0.42,Matches
308,Katie Scott,usUSA,DF,Current,17,2007,2,2,121.0,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
309,Hannah Seabert,dkDEN,GK,Angel City FC,29,1995,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
310,Emma Sears,usUSA,"FW,MF",Racing Louisville,23,2001,26,26,,24.9,10,2,12,10,0,0,3,0,0.4,0.08,0.48,0.4,0.48,Matches
311,Ally Sentnor,usUSA,MF,Current,20,2004,11,7,665.0,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
312,Ally Sentnor,usUSA,"MF,FW",Royals,20,2004,13,13,,12.5,1,1,2,0,1,1,0,0,0.08,0.08,0.16,0.0,0.08,Matches
313,Kayla Sharples,usUSA,DF,Current,27,1997,24,23,,23.2,2,1,3,2,0,0,1,0,0.09,0.04,0.13,0.09,0.13,Matches
314,Jaedyn Shaw,usUSA,"MF,FW",NC Courage,20,2004,19,10,,11.1,3,1,4,2,1,2,2,0,0.27,0.09,0.36,0.18,0.27,Matches
315,Jaedyn Shaw,usUSA,"MF,FW",Gotham FC,20,2004,7,6,546.0,6.1,1,1,2,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,Matches
316,Delanie Sheehan,usUSA,"MF,FW",Houston Dash,26,1999,26,25,,23.1,1,2,3,1,0,0,2,0,0.04,0.09,0.13,0.04,0.13,Matches
317,Jamie Shepherd,usUSA,MF,Bay FC,24,2000,10,3,271.0,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches
318,Kailen Sheridan,caCAN,GK,SD Wave,29,1995,24,24,,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
319,Evelyn Shores,usUSA,"DF,MF",Angel City FC,20,2004,12,12,983.0,10.9,1,0,1,1,0,0,1,0,0.09,0.0,0.09,0.09,0.09,Matches
320,Jordan Silkowitz,usUSA,GK,Bay FC,24,2000,24,24,,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
321,Jéssica Silva,ptPOR,MF,Gotham FC,30,1994,3,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
322,Abby Smith,usUSA,GK,Houston Dash,31,1993,9,8,798.0,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
323,Ji So-yun,krKOR,"MF,FW",Reign,33,1991,13,9,748.0,8.3,2,2,4,1,1,1,1,0,0.24,0.24,0.48,0.12,0.36,Matches
324,Aisha Solórzano,gtGUA,FW,Royals,26,1998,20,15,,12.1,1,0,1,1,0,0,2,0,0.08,0.0,0.08,0.08,0.08,Matches
325,Janine Sonis,caCAN,"DF,FW",Racing Louisville,30,1994,26,23,,22.8,3,5,8,3,0,0,0,0,0.13,0.22,0.35,0.13,0.35,Matches
326,Emily Sonnett,usUSA,DF,Gotham FC,31,1993,26,26,,26.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,Matches
327,Alexa Spaanstra,usUSA,"FW,MF",Portland Thorns,24,2000,16,5,488.0,5.4,0,1,1,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,Matches
328,Meredith Speck,usUSA,"FW,MF",NC Courage,31,1993,15,5,476.0,5.3,1,3,4,1,0,0,0,0,0.19,0.57,0.76,0.19,0.76,Matches
329,Bianca St-Georges,caCAN,"FW,MF",Royals,27,1997,22,11,,11.7,3,0,3,3,0,0,4,0,0.26,0.0,0.26,0.26,0.26,Matches
330,Samantha Staab,usUSA,DF,Chicago Stars,27,1997,26,25,,24.0,2,4,6,2,0,0,2,0,0.08,0.17,0.25,0.08,0.25,Matches
331,Heather Stainbrook,usUSA,MF,Washington Spirit,23,2001,11,6,436.0,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
332,Talia Staude,usUSA,DF,NC Courage,23,2001,9,7,679.0,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
333,Regan Steigleder,noNOR,MF,Current,26,1998,1,0,28.0,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
334,Katie Stengel,usUSA,FW,Gotham FC,32,1992,13,5,552.0,6.1,1,1,2,1,0,0,1,0,0.16,0.16,0.33,0.16,0.33,Matches
335,Ella Stevens,usUSA,"MF,FW",Gotham FC,27,1997,10,7,645.0,7.2,0,1,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,Matches
336,Kylie Strom,usUSA,DF,Orlando Pride,32,1992,17,17,,16.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
