ranker,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
355,Viviana Villacorta,usUSA,MF,Orlando Pride,24,1999,0.8,0,0,0,3,0,0,0,2,1,,,0,Matches
356,Cortnee Vine,auAUS,"MF,FW",NC Courage,25,1998,2.6,0,0,0,1,2,0,4,1,2,,,0,Matches
357,Olivia Wade-Katoa,usUSA,MF,Portland Thorns,24,1999,0.4,0,0,0,1,1,0,2,1,0,,,0,Matches
358,Ally Watt,usUSA,"FW,MF",Orlando Pride,26,1997,9.9,1,0,0,12,12,13,30,3,15,,,0,Matches
359,Dani Weatherholt,usUSA,"DF,MF",NC Courage,29,1994,9.3,0,0,0,10,4,0,2,8,15,,,0,Matches
360,Morgan Weaver,usUSA,"FW,MF",Portland Thorns,26,1997,10.4,0,0,0,10,4,2,27,1,13,,,0,Matches
361,McKenzie Weinert,,FW,Reign,,,0.3,0,0,0,2,0,1,2,1,1,,,0,Matches
362,Kennedy Wesley,usUSA,DF,SD Wave,22,2001,11.2,1,0,0,5,12,0,4,17,7,,,0,Matches
363,Amanda West,caCAN,"MF,FW",Houston Dash,22,2001,8.1,0,0,0,4,5,3,15,2,7,,,0,Matches
364,Christen Westphal,usUSA,DF,SD Wave,30,1993,8.1,1,0,0,2,2,1,14,6,7,,,0,Matches
365,Ellie Wheeler,usUSA,"DF,MF",Current,22,2001,15.9,2,0,0,13,14,2,34,22,23,,,0,Matches
366,Kate Wiesner,usUSA,"DF,MF",Washington Spirit,22,2001,5.8,2,0,0,6,6,1,21,5,12,,,0,Matches
367,Ryan Williams,usUSA,DF,NC Courage,27,1996,24.9,3,1,1,15,8,5,57,55,53,,,0,Matches
368,Sophia Wilson,usUSA,"FW,MF",Portland Thorns,23,2000,17.2,3,1,1,18,29,12,23,5,12,,,0,Matches
369,Olivia Wingate,usUSA,FW,NC Courage,23,2000,4.0,0,0,0,3,4,1,7,1,2,,,0,Matches
370,Mackenzie Wood,usUSA,GK,Red Stars,23,2000,2.3,0,0,0,0,0,0,0,0,0,,,0,Matches
371,Lily Woodham,wlsWAL,DF,Reign,23,2000,4.3,0,0,0,4,2,0,22,2,12,,,0,Matches
372,Arin Wright,usUSA,DF,Racing Louisville,31,1992,20.1,1,1,0,6,4,2,8,35,10,,,1,Matches
373,Summer Yates,usUSA,MF,Orlando Pride,23,2000,14.7,0,0,0,17,36,1,60,10,15,,,0,Matches
374,Katie Zelem,engENG,MF,Angel City FC,28,1996,8.3,2,0,0,12,5,0,33,7,14,,,0,Matches
375,McCall Zerboni,usUSA,MF,Gotham FC,37,1986,1.9,0,0,0,5,2,0,0,1,6,,,0,Matches
376,Claudia Zornoza,esESP,MF,Royals,33,1990,9.4,1,0,0,12,5,0,38,14,18,,,0,Matches
