ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
29,Hillary Beall,usUSA,GK,SD Wave,25,1999,1.3,,,,,,,,,,,,,,,,,Matches
30,Beatriz,brBRA,FW,Current,30,1993,9.6,,,,,,,,,,,,,,,,,Matches
31,Jennifer Beattie,sctSCO,DF,Bay FC,32,1991,4.5,,,,,,,,,,,,,,,,,Matches
32,Maycee Bell,usUSA,DF,NC Courage,23,2000,0.1,,,,,,,,,,,,,,,,,Matches
33,Maycee Bell,usUSA,DF,Gotham FC,23,2000,3.2,,,,,,,,,,,,,,,,,Matches
34,Elyse Bennett,usUSA,"MF,FW",SD Wave,24,1999,3.0,,,,,,,,,,,,,,,,,Matches
35,Ann-Katrin Berger,deGER,GK,Gotham FC,33,1990,22.0,,,,,,,,,,,,,,,,,Matches
36,Malia Berkely,usUSA,DF,NC Courage,25,1998,24.5,,,,,,,,,,,,,,,,,Matches
37,Hannah Betfort,usUSA,FW,Royals,25,1999,18.6,,,,,,,,,,,,,,,,,Matches
38,Croix Bethune,usUSA,MF,Washington Spirit,22,2001,15.3,,,,,,,,,,,,,,,,,Matches
39,Camryn Biegalski,usUSA,"DF,MF",Red Stars,25,1998,4.2,,,,,,,,,,,,,,,,,Matches
40,Jenna Bike,usUSA,"MF,FW",Red Stars,25,1998,14.8,,,,,,,,,,,,,,,,,Matches
41,Lynn Biyendolo,usUSA,"FW,MF",Gotham FC,30,1993,10.2,,,,,,,,,,,,,,,,,Matches
42,Tess Boade,usUSA,"MF,FW",Bay FC,24,1999,22.7,,,,,,,,,,,,,,,,,Matches
43,Bethany Bos,usUSA,"FW,MF",Reign,26,1997,12.0,,,,,,,,,,,,,,,,,Matches
44,Bethany Bos,usUSA,"FW,MF",Racing Louisville,26,1997,7.9,,,,,,,,,,,,,,,,,Matches
45,Lyza Bosselmann,,GK,Washington Spirit,,,0.0,,,,,,,,,,,,,,,,,Matches
