ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
168,Katie Lund,usUSA,GK,Racing Louisville,26,1996,22.0,,0,,,,,,,,,,,0,,,,Matches
169,Tyler Lussi,usUSA,"MF,FW",NC Courage,28,1995,12.9,,10,,,,,,,,,,,15,,,,Matches
170,Hailie Mace,usUSA,"DF,MF",Current,25,1997,15.9,,21,,,,,,,,,,,31,,,,Matches
171,Rikke Madsen,dkDEN,FW,NC Courage,25,1997,7.5,,6,,,,,,,,,,,3,,,,Matches
172,Taylor Malham,usUSA,DF,Red Stars,23,1999,2.4,,1,,,,,,,,,,,0,,,,Matches
173,Alyssa Malonson,usUSA,DF,Reign,23,1999,0.6,,0,,,,,,,,,,,3,,,,Matches
174,Marta,brBRA,"MF,FW",Orlando Pride,36,1986,16.0,,15,,,,,,,,,,,15,,,,Matches
175,Nealy Martin,usUSA,MF,Gotham FC,24,1998,11.8,,17,,,,,,,,,,,20,,,,Matches
176,Brianna Martinez,usUSA,DF,Orlando Pride,22,2000,0.6,,2,,,,,,,,,,,4,,,,Matches
177,Manaka Matsukubo,jpJPN,MF,NC Courage,18,2004,5.3,,6,,,,,,,,,,,1,,,,Matches
178,Cheyna Matthews,jmJAM,"MF,FW",Red Stars,29,1993,4.4,,8,,,,,,,,,,,4,,,,Matches
179,Addie McCain,usUSA,MF,Red Stars,23,1999,0.0,,0,,,,,,,,,,,0,,,,Matches
180,Savannah McCaskill,usUSA,"MF,FW",Angel City FC,26,1996,20.7,,18,,,,,,,,,,,4,,,,Matches
181,Phoebe McClernon,usUSA,DF,Reign,25,1997,7.8,,18,,,,,,,,,,,19,,,,Matches
182,Haley McCutcheon,usUSA,DF,Orlando Pride,26,1996,21.7,,34,,,,,,,,,,,25,,,,Matches
183,Jessica McDonald,usUSA,"FW,MF",Racing Louisville,34,1988,2.8,,1,,,,,,,,,,,0,,,,Matches
184,Amanda McGlynn,usUSA,GK,Gotham FC,24,1998,7.0,,0,,,,,,,,,,,0,,,,Matches
185,Tara McKeown,usUSA,DF,Washington Spirit,23,1999,20.3,,15,,,,,,,,,,,36,,,,Matches
186,Kristen McNabb,usUSA,DF,SD Wave,28,1994,12.9,,14,,,,,,,,,,,16,,,,Matches
187,Emily Menges,usUSA,DF,Portland Thorns,30,1992,15.5,,16,,,,,,,,,,,20,,,,Matches
188,Addisyn Merrick,usUSA,DF,Current,24,1998,7.9,,10,,,,,,,,,,,12,,,,Matches
189,Paige Metayer,usUSA,MF,Washington Spirit,22,2000,20.5,,25,,,,,,,,,,,19,,,,Matches
190,Kristie Mewis,usUSA,MF,Gotham FC,31,1991,11.7,,10,,,,,,,,,,,9,,,,Matches
191,Tatumn Milazzo,usUSA,DF,Red Stars,24,1998,19.8,,32,,,,,,,,,,,29,,,,Matches
192,Cassie Miller,usUSA,GK,Current,27,1995,10.0,,0,,,,,,,,,,,0,,,,Matches
193,Lauren Milliet,usUSA,DF,Racing Louisville,26,1996,22.0,,34,,,,,,,,,,,41,,,,Matches
194,Narumi Miura,jpJPN,MF,NC Courage,25,1997,21.4,,37,,,,,,,,,,,22,,,,Matches
195,Paige Monaghan,usUSA,"FW,MF",Racing Louisville,26,1996,12.8,,11,,,,,,,,,,,13,,,,Matches
196,Anna Moorhouse,engENG,GK,Orlando Pride,27,1995,18.0,,0,,,,,,,,,,,0,,,,Matches
197,Alex Morgan,usUSA,FW,SD Wave,33,1989,17.1,,11,,,,,,,,,,,12,,,,Matches
198,Olivia Moultrie,usUSA,MF,Portland Thorns,17,2005,12.1,,18,,,,,,,,,,,6,,,,Matches
199,Casey Murphy,usUSA,GK,NC Courage,26,1996,20.0,,0,,,,,,,,,,,1,,,,Matches
200,Lily Nabet,usUSA,MF,Angel City FC,23,1999,4.6,,5,,,,,,,,,,,5,,,,Matches
201,Nadia Nadim,dkDEN,FW,Racing Louisville,35,1988,3.9,,0,,,,,,,,,,,0,,,,Matches
202,Alyssa Naeher,usUSA,GK,Red Stars,34,1988,20.0,,1,,,,,,,,,,,0,,,,Matches
203,Yūki Nagasato,jpJPN,"MF,FW",Red Stars,35,1987,17.4,,12,,,,,,,,,,,15,,,,Matches
204,Meaghan Nally,usUSA,DF,Portland Thorns,24,1998,4.7,,4,,,,,,,,,,,10,,,,Matches
205,Carly Nelson,usUSA,GK,Orlando Pride,24,1998,3.0,,0,,,,,,,,,,,0,,,,Matches
206,Paige Nielsen,usUSA,DF,Angel City FC,29,1993,19.7,,24,,,,,,,,,,,34,,,,Matches
207,Jenna Nighswonger,usUSA,DF,Gotham FC,22,2000,16.9,,34,,,,,,,,,,,17,,,,Matches
208,Kelley O'Hara,usUSA,"DF,MF",Gotham FC,34,1988,7.1,,7,,,,,,,,,,,10,,,,Matches
209,Denise O'Sullivan,ieIRL,MF,NC Courage,28,1994,19.9,,31,,,,,,,,,,,28,,,,Matches
210,Bárbara Olivieri,veVEN,FW,Houston Dash,20,2002,1.9,,4,,,,,,,,,,,1,,,,Matches
211,Ifeoma Onumonu,ngNGA,FW,Gotham FC,28,1994,4.1,,4,,,,,,,,,,,3,,,,Matches
212,Diana Ordoñez,mxMEX,FW,Houston Dash,21,2001,15.2,,9,,,,,,,,,,,2,,,,Matches
213,Megan Oyster,usUSA,DF,Orlando Pride,30,1992,12.3,,11,,,,,,,,,,,16,,,,Matches
214,Courtney Petersen,usUSA,"DF,MF",Houston Dash,25,1997,6.7,,8,,,,,,,,,,,5,,,,Matches
215,Carson Pickett,usUSA,DF,Racing Louisville,29,1993,18.8,,17,,,,,,,,,,,38,,,,Matches
216,Kiki Pickett,usUSA,DF,NC Courage,23,1999,7.7,,8,,,,,,,,,,,13,,,,Matches
217,Victoria Pickett,caCAN,MF,NC Courage,26,1996,2.9,,5,,,,,,,,,,,2,,,,Matches
218,Victoria Pickett,caCAN,MF,Gotham FC,26,1996,1.2,,0,,,,,,,,,,,0,,,,Matches
219,Elli Pikkujämsä,fiFIN,"MF,DF",Racing Louisville,23,1999,13.8,,11,,,,,,,,,,,10,,,,Matches
220,Brianna Pinto,usUSA,MF,NC Courage,22,2000,4.2,,5,,,,,,,,,,,2,,,,Matches
221,Mackenzie Pluck,usUSA,MF,Angel City FC,22,2000,0.0,,0,,,,,,,,,,,0,,,,Matches
222,Madison Pogarch,usUSA,DF,SD Wave,25,1997,8.7,,16,,,,,,,,,,,5,,,,Matches
223,Maddie Pokorny,usUSA,DF,Racing Louisville,26,1996,2.8,,7,,,,,,,,,,,2,,,,Matches
224,Taylor Porter,usUSA,MF,Portland Thorns,25,1997,2.2,,4,,,,,,,,,,,7,,,,Matches
225,Nichelle Prince,caCAN,"FW,MF",Houston Dash,27,1995,4.4,,3,,,,,,,,,,,1,,,,Matches
226,Ally Prisock,usUSA,DF,Houston Dash,26,1997,8.8,,5,,,,,,,,,,,9,,,,Matches
227,Sarah Puntigam,atAUT,"DF,MF",Houston Dash,30,1992,5.2,,9,,,,,,,,,,,4,,,,Matches
228,Margaret Purce,usUSA,"FW,MF",Gotham FC,27,1995,8.0,,7,,,,,,,,,,,1,,,,Matches
229,Quinn,caCAN,MF,Reign,27,1995,8.8,,8,,,,,,,,,,,7,,,,Matches
230,Rafaelle,brBRA,DF,Orlando Pride,31,1991,6.8,,10,,,,,,,,,,,13,,,,Matches
231,Megan Rapinoe,usUSA,"MF,FW",Reign,37,1985,11.1,,7,,,,,,,,,,,8,,,,Matches
232,Brittany Ratcliffe,usUSA,"MF,FW",NC Courage,28,1994,4.1,,4,,,,,,,,,,,3,,,,Matches
233,Megan Reid,usUSA,DF,Angel City FC,26,1996,8.8,,6,,,,,,,,,,,10,,,,Matches
234,Reyna Reyes,mxMEX,DF,Portland Thorns,21,2001,7.3,,24,,,,,,,,,,,15,,,,Matches
